joint_name,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22
LF_HAA,0.5518326006235474,0.23507483241215055,0.3685797636046124,1.0,0.0,0.0,0.0,0.0,-0.84,-0.5714285714285714,-0.8,-1.0,-1.0,-0.8333333333333333,-0.1565217391304348,0.10652173913043479,0.6000000000000001,1.0,0.25,-0.47099788235294127,0.08692382313449998,-0.11517537685480861,-0.09056761005796643
LF_HFE,0.6620519163199481,0.424513524001473,0.3685797842421261,2.220446049250313e-16,0.9999999999997009,7.732659999045882e-07,0.0,0.08695652173913045,-0.84,-0.5714285714285714,-0.8,-1.0,-1.0,-0.8333333333333333,-0.682608695652174,0.682608695652174,0.6000000000000001,1.0,0.25,-0.47099788235294127,0.08692382313449998,-0.11517537685480861,-0.09056761005796643
LF_KFE,0.457834794207552,0.6512255759957122,-0.20870844220623175,3.3306690738754696e-16,0.9999999999997008,7.732659998704872e-07,-1.0,-0.1739130434782609,-0.84,-0.5714285714285714,-0.8,-1.0,-1.0,-0.8333333333333333,-0.682608695652174,0.682608695652174,0.6000000000000001,1.0,0.25,-0.47099788235294127,0.08692382313449998,-0.11517537685480861,-0.09056761005796643
RF_HAA,0.5518326006235474,-0.23507483241215033,0.3685797636046124,1.0,0.0,0.0,0.0,0.0,-0.84,-0.5714285714285714,-0.8,-1.0,-1.0,-0.8333333333333333,-0.10652173913043479,0.1565217391304348,0.6000000000000001,1.0,0.25,-0.47099788235294127,0.08692382313449998,-0.11517537685480861,-0.09056761005796643
RF_HFE,0.6620519163199481,-0.4245135240014729,0.3685797842421261,2.220446049250313e-16,-0.9999999999997009,7.732659999045882e-07,0.0,-0.08695652173913045,-0.84,-0.5714285714285714,-0.8,-1.0,-1.0,-0.8333333333333333,-0.682608695652174,0.682608695652174,0.6000000000000001,1.0,0.25,-0.47099788235294127,0.08692382313449998,-0.11517537685480861,-0.09056761005796643
RF_KFE,0.457834794207552,-0.6512255759957122,-0.20870844220623175,3.3306690738754696e-16,-0.9999999999997008,7.732659998704872e-07,-1.0,0.1739130434782609,-0.84,-0.5714285714285714,-0.8,-1.0,-1.0,-0.8333333333333333,-0.682608695652174,0.682608695652174,0.6000000000000001,1.0,0.25,-0.47099788235294127,0.08692382313449998,-0.11517537685480861,-0.09056761005796643
LH_HAA,-0.5518326006235477,0.23507483241215055,0.3685797636046124,-0.9999999999999993,0.0,0.0,0.0,0.0,-0.84,-0.5714285714285714,-0.8,-1.0,-1.0,-0.8333333333333333,-0.10652173913043479,0.1565217391304348,0.6000000000000001,1.0,0.25,-0.47099788235294127,0.08692382313449998,-0.11517537685480861,-0.09056761005796643
LH_HFE,-0.6620519163199481,0.424513524001473,0.3685797842421261,2.220446049250313e-16,0.9999999999997009,7.732659999045882e-07,0.0,-0.08695652173913045,-0.84,-0.5714285714285714,-0.8,-1.0,-1.0,-0.8333333333333333,-0.682608695652174,0.682608695652174,0.6000000000000001,1.0,0.25,-0.47099788235294127,0.08692382313449998,-0.11517537685480861,-0.09056761005796643
LH_KFE,-0.4578347942075518,0.6512255759957122,-0.20870844220623175,2.220446049250313e-16,0.9999999999997008,7.732659998704872e-07,-1.0,0.1739130434782609,-0.84,-0.5714285714285714,-0.8,-1.0,-1.0,-0.8333333333333333,-0.682608695652174,0.682608695652174,0.6000000000000001,1.0,0.25,-0.47099788235294127,0.08692382313449998,-0.11517537685480861,-0.09056761005796643
RH_HAA,-0.5518326006235477,-0.23507483241215033,0.3685797636046124,-0.9999999999999993,0.0,0.0,0.0,0.0,-0.84,-0.5714285714285714,-0.8,-1.0,-1.0,-0.8333333333333333,-0.1565217391304348,0.10652173913043479,0.6000000000000001,1.0,0.25,-0.47099788235294127,0.08692382313449998,-0.11517537685480861,-0.09056761005796643
RH_HFE,-0.6620519163199481,-0.4245135240014729,0.3685797842421261,2.220446049250313e-16,-0.9999999999997009,7.732659999045882e-07,0.0,0.08695652173913045,-0.84,-0.5714285714285714,-0.8,-1.0,-1.0,-0.8333333333333333,-0.682608695652174,0.682608695652174,0.6000000000000001,1.0,0.25,-0.47099788235294127,0.08692382313449998,-0.11517537685480861,-0.09056761005796643
RH_KFE,-0.4578347942075518,-0.6512255759957122,-0.20870844220623175,2.220446049250313e-16,-0.9999999999997008,7.732659998704872e-07,-1.0,-0.1739130434782609,-0.84,-0.5714285714285714,-0.8,-1.0,-1.0,-0.8333333333333333,-0.682608695652174,0.682608695652174,0.6000000000000001,1.0,0.25,-0.47099788235294127,0.08692382313449998,-0.11517537685480861,-0.09056761005796643
