joint_name,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22
spine_joint,-0.17423411884244422,-0.12468865740778756,0.4003084928416001,-0.002388604249683457,-0.9999971472808002,-1.4766150679526758e-12,1.0,0.0,-0.904,-0.8200000000000001,-0.98,-0.86878,-1.0,-0.19999999999999996,-0.1706521739130435,0.1706521739130435,-0.6,-0.5,-0.375,-0.8456470588235294,-0.2238524116208035,-0.58977149444884,-0.478110180790983
RL_hip_joint,-0.4509981327411322,0.3762850167921623,0.4003095875516032,-0.9999987321214807,0.0015924033378567155,2.653588116727626e-06,0.0,-0.02173913043478261,-0.968,0.4285714285714286,-0.98,-0.86878,-1.0,-0.19999999999999996,-0.341304347826087,0.341304347826087,-0.6,-0.5,-0.375,-0.8456470588235294,-0.2238524116208035,-0.58977149444884,-0.478110180790983
RL_thigh_joint,-0.5939609443314472,0.43735300453340553,0.40509245536231986,0.0007885109512134614,0.9950038555943149,0.0998333892188791,0.0,-0.2173913043478261,-0.968,0.4285714285714286,-0.98,-0.86878,-1.0,-0.19999999999999996,-0.341304347826087,0.341304347826087,-0.6,-0.5,-0.375,-0.8456470588235294,-0.2238524116208035,-0.58977149444884,-0.478110180790983
RL_calf_joint,-0.8722266298232977,0.8029837912241011,-0.21431700254996622,0.0007885109512135724,0.9950038555943148,0.09983338921887908,-1.0,0.32608695652173914,-0.968,0.4285714285714286,-0.98,-0.86878,-1.0,-0.19999999999999996,0.0,0.55,-0.6,-0.5,-0.375,-0.8456470588235294,-0.2238524116208035,-0.58977149444884,-0.478110180790983
RR_hip_joint,-0.45075524719626237,-0.24776030702885266,0.4003095834832173,-0.9999987321214807,0.0015924033378567155,2.653588116727626e-06,0.0,0.02173913043478261,-0.968,0.4285714285714286,-0.98,-0.86878,-1.0,-0.19999999999999996,-0.341304347826087,0.341304347826087,-0.6,-0.5,-0.375,-0.8456470588235294,-0.2238524116208035,-0.58977149444884,-0.478110180790983
RR_thigh_joint,-0.5938201300921966,-0.3079665469769174,0.405092451092387,-0.002380383952306664,-0.9950013211093747,0.09983338501142408,0.0,0.2173913043478261,-0.968,0.4285714285714286,-0.98,-0.86878,-1.0,-0.19999999999999996,-0.341304347826087,0.341304347826087,-0.6,-0.5,-0.375,-0.8456470588235294,-0.2238524116208035,-0.58977149444884,-0.478110180790983
RR_calf_joint,-0.8727021755325227,-0.6719184660935829,-0.21431482150698689,-0.002380383952306442,-0.9950013211093746,0.09983338501142403,-1.0,-0.32608695652173914,-0.968,0.4285714285714286,-0.98,-0.86878,-1.0,-0.19999999999999996,-0.55,0.0,-0.6,-0.5,-0.375,-0.8456470588235294,-0.2238524116208035,-0.58977149444884,-0.478110180790983
FR_hip_joint,0.5434128961578404,-0.2441342818267107,0.4003084928416001,1.0,0.0,0.0,0.0,-0.02173913043478261,-0.968,0.4285714285714286,-0.98,-0.86878,-1.0,-0.19999999999999996,-0.341304347826087,0.341304347826087,-0.6,-0.5,-0.375,-0.8456470588235294,-0.2238524116208035,-0.58977149444884,-0.478110180790983
FR_thigh_joint,0.6864269332584361,-0.304771472551743,0.4050907961636949,0.0007962024260461664,-0.9950038498923497,0.09983338500270977,0.0,0.1739130434782609,-0.968,0.4285714285714286,-0.98,-0.86878,-1.0,-0.19999999999999996,-0.341304347826087,0.341304347826087,-0.6,-0.5,-0.375,-0.8456470588235294,-0.2238524116208035,-0.58977149444884,-0.478110180790983
FR_calf_joint,0.327487985134606,-0.6584369804842913,-0.1195912691037645,0.0007962024260463885,-0.9950038498923494,0.09983338500270966,-1.0,-0.32608695652173914,-0.968,0.4285714285714286,-0.98,-0.86878,-1.0,-0.19999999999999996,-0.55,0.0,-0.6,-0.5,-0.375,-0.8456470588235294,-0.2238524116208035,-0.58977149444884,-0.478110180790983
FL_hip_joint,0.5434128961578404,0.3799081641170512,0.4003084928416001,1.0,0.0,0.0,0.0,0.02173913043478261,-0.968,0.4285714285714286,-0.98,-0.86878,-1.0,-0.19999999999999996,-0.341304347826087,0.341304347826087,-0.6,-0.5,-0.375,-0.8456470588235294,-0.2238524116208035,-0.58977149444884,-0.478110180790983
FL_thigh_joint,0.6864269332584361,0.44054535484208346,0.4050907961636949,0.0007962024260461664,0.9950038498923497,0.09983338500270977,0.0,-0.1739130434782609,-0.968,0.4285714285714286,-0.98,-0.86878,-1.0,-0.19999999999999996,-0.341304347826087,0.341304347826087,-0.6,-0.5,-0.375,-0.8456470588235294,-0.2238524116208035,-0.58977149444884,-0.478110180790983
FL_calf_joint,0.327487985134606,0.794210862774632,-0.1195912691037645,0.0007962024260463885,0.9950038498923494,0.09983338500270966,-1.0,0.32608695652173914,-0.968,0.4285714285714286,-0.98,-0.86878,-1.0,-0.19999999999999996,0.0,0.55,-0.6,-0.5,-0.375,-0.8456470588235294,-0.2238524116208035,-0.58977149444884,-0.478110180790983
