joint_name,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22
left-hip-roll,0.4742306232566349,0.44563510545253093,0.6831307242552667,-1.0,0.0,-2.220446049250313e-16,0.0,-0.0009781652173913044,-0.775,-0.3058571428571428,-0.8,-0.61875,-1.0,-1.0,-0.08536936558667917,0.05691291039111944,0.3999999999999999,1.0,0.4999999999999998,-0.6080941176470589,-0.395172077214341,-0.39997639819771413,0.26023868509575965
left-hip-yaw,0.2427598284639585,0.44563510545253093,0.6831307242552667,-1.951371444742882e-21,0.004499544816969933,-0.9999898769969825,0.0,0.0,-0.775,-0.3058571428571428,-0.8,-0.61875,-1.0,-1.0,-0.08536936558667917,0.08536936558667917,0.3999999999999999,1.0,0.4999999999999998,-0.6080941176470589,-0.395172077214341,-0.39997639819771413,0.26023868509575965
left-hip-pitch,0.2427598284639585,0.44698491580102684,0.5403020839443404,0.0,0.9999898769969823,0.004499544816969792,0.0,-0.10810891304347826,-0.6096,-0.5138,-0.8,-0.0656000000000001,-1.0,-1.0,-0.30353552208597034,0.1897097013037315,0.3999999999999999,1.0,0.4999999999999998,-0.6080941176470589,-0.395172077214341,-0.39997639819771413,0.26023868509575965
left-knee,0.43205870781623856,0.4335674074225897,0.3728989061330774,0.0,0.9999898769969824,0.004499544816969792,0.0,0.09006521739130435,-0.6096,-0.5138,-0.8,-0.0656000000000001,-1.0,-1.0,-0.030353552208597038,0.45150908910288096,0.3999999999999999,1.0,0.4999999999999998,-0.6080941176470589,-0.395172077214341,-0.39997639819771413,0.26023868509575965
left-foot,0.33867697386635554,0.4448728239850763,-0.8233708346995735,-5.551115123125783e-17,0.9999898769969822,0.004499544816969792,-1.0,0.3471326086956522,-0.91,-0.34176000000000006,-0.8,-0.8775,-1.0,-1.0,0.11382582078223888,0.5311871636504482,0.3999999999999999,1.0,0.4999999999999998,-0.6080941176470589,-0.395172077214341,-0.39997639819771413,0.26023868509575965
right-hip-roll,0.4742306232566349,-0.4543294932365982,0.6831307242552667,-1.0,0.0,-2.220446049250313e-16,0.0,0.0009781652173913044,-0.775,-0.3058571428571428,-0.8,-0.61875,-1.0,-1.0,-0.05691291039111944,0.08536936558667917,0.3999999999999999,1.0,0.4999999999999998,-0.6080941176470589,-0.395172077214341,-0.39997639819771413,0.26023868509575965
right-hip-yaw,0.2427598284639585,-0.4543294932365982,0.6831307242552667,-1.951371444742882e-21,-0.004499544816969933,-0.9999898769969825,0.0,0.0,-0.775,-0.3058571428571428,-0.8,-0.61875,-1.0,-1.0,-0.08536936558667917,0.08536936558667917,0.3999999999999999,1.0,0.4999999999999998,-0.6080941176470589,-0.395172077214341,-0.39997639819771413,0.26023868509575965
right-hip-pitch,0.2427598284639585,-0.45567930358509434,0.5403020839443404,0.0,-0.9999898769969823,0.004499544816970125,0.0,0.10810891304347826,-0.6096,-0.5138,-0.8,-0.0656000000000001,-1.0,-1.0,-0.1897097013037315,0.30353552208597034,0.3999999999999999,1.0,0.4999999999999998,-0.6080941176470589,-0.395172077214341,-0.39997639819771413,0.26023868509575965
right-knee,0.43205870781623856,-0.4422617952066571,0.3728989061330774,0.0,-0.9999898769969824,0.004499544816970014,0.0,-0.09006521739130435,-0.6096,-0.5138,-0.8,-0.0656000000000001,-1.0,-1.0,-0.45150908910288096,-0.030353552208597038,0.3999999999999999,1.0,0.4999999999999998,-0.6080941176470589,-0.395172077214341,-0.39997639819771413,0.26023868509575965
right-foot,0.33867697386635554,-0.45356721176914383,-0.8233708346995735,-5.551115123125783e-17,-0.9999898769969822,0.004499544816970236,-1.0,-0.3471326086956522,-0.91,-0.34176000000000006,-0.8,-0.8775,-1.0,-1.0,-0.5311871636504482,-0.11382582078223888,0.3999999999999999,1.0,0.4999999999999998,-0.6080941176470589,-0.395172077214341,-0.39997639819771413,0.26023868509575965
