joint_name,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22
hip_rotation_l,-0.4498107354097748,0.21144958105066314,-0.07095636468875333,0.0,0.0,-1.0,0.0,0.0,-0.6,0.3142857142857143,-0.8,0.0,-1.0,-1.0,-0.09347826086956522,0.09347826086956522,0.19999999999999996,1.0,0.875,-0.3948588235294118,-0.4480425430325754,-0.17237953780542026,0.7713889077484262
hip_adduction_l,-0.30679971344860457,0.21144958105066314,-0.07095636468875333,-1.0,0.0,0.0,0.0,0.0,-0.6,0.3142857142857143,-0.8,0.0,-1.0,-1.0,-0.09347826086956522,0.09347826086956522,0.19999999999999996,1.0,0.875,-0.3948588235294118,-0.4480425430325754,-0.17237953780542026,0.7713889077484262
hip_flexion_l,-0.30679971344860457,0.49022470870785706,-0.07095636468875333,0.0,1.0,0.0,0.0,-0.08695652173913045,-0.6,0.3142857142857143,-0.8,0.0,-1.0,-1.0,-0.341304347826087,0.341304347826087,0.19999999999999996,1.0,0.875,-0.3948588235294118,-0.4480425430325754,-0.17237953780542026,0.7713889077484262
knee_angle_l,0.25761819578403844,0.49022470870785706,-0.4869287081866589,0.0,1.0,0.0,0.0,0.1739130434782609,-0.4,-0.19999999999999996,-0.8,0.0,-1.0,-1.0,-0.05652173913043479,0.44565217391304346,0.19999999999999996,1.0,0.875,-0.3948588235294118,-0.4480425430325754,-0.17237953780542026,0.7713889077484262
ankle_angle_l,-0.3067997134486047,0.49022470870785706,-0.9029010516845646,0.0,1.0,0.0,-1.0,-0.08695652173913045,-0.92,-0.48571428571428577,-0.8,0.0,-1.0,-1.0,-0.18913043478260871,0.11304347826086958,0.19999999999999996,1.0,0.875,-0.3948588235294118,-0.4480425430325754,-0.17237953780542026,0.7713889077484262
hip_rotation_r,-0.4498107354097748,-0.21144958105066314,-0.07095636468875333,0.0,0.0,-1.0,0.0,0.0,-0.6,0.3142857142857143,-0.8,0.0,-1.0,-1.0,-0.09347826086956522,0.09347826086956522,0.19999999999999996,1.0,0.875,-0.3948588235294118,-0.4480425430325754,-0.17237953780542026,0.7713889077484262
hip_adduction_r,-0.30679971344860457,-0.21144958105066314,-0.07095636468875333,-1.0,0.0,0.0,0.0,0.0,-0.6,0.3142857142857143,-0.8,0.0,-1.0,-1.0,-0.09347826086956522,0.09347826086956522,0.19999999999999996,1.0,0.875,-0.3948588235294118,-0.4480425430325754,-0.17237953780542026,0.7713889077484262
hip_flexion_r,-0.30679971344860457,-0.49022470870785717,-0.07095636468875333,0.0,-1.0,0.0,0.0,0.08695652173913045,-0.6,0.3142857142857143,-0.8,0.0,-1.0,-1.0,-0.341304347826087,0.341304347826087,0.19999999999999996,1.0,0.875,-0.3948588235294118,-0.4480425430325754,-0.17237953780542026,0.7713889077484262
knee_angle_r,0.25761819578403844,-0.49022470870785717,-0.4869287081866589,0.0,-1.0,0.0,0.0,-0.1739130434782609,-0.4,-0.19999999999999996,-0.8,0.0,-1.0,-1.0,-0.44565217391304346,0.05652173913043479,0.19999999999999996,1.0,0.875,-0.3948588235294118,-0.4480425430325754,-0.17237953780542026,0.7713889077484262
ankle_angle_r,-0.3067997134486047,-0.49022470870785717,-0.9029010516845646,0.0,-1.0,0.0,-1.0,0.08695652173913045,-0.92,-0.48571428571428577,-0.8,0.0,-1.0,-1.0,-0.11304347826086958,0.18913043478260871,0.19999999999999996,1.0,0.875,-0.3948588235294118,-0.4480425430325754,-0.17237953780542026,0.7713889077484262
back_bkz,-0.4498107354097748,0.0,0.12572545852693096,0.0,0.0,1.0,1.0,0.0,-0.6,0.3142857142857143,-0.8,0.0,-1.0,-1.0,-0.5108695652173914,0.5108695652173914,0.19999999999999996,1.0,0.875,-0.3948588235294118,-0.4480425430325754,-0.17237953780542026,0.7713889077484262
l_arm_shy,-0.42988166323012444,0.3754136276139486,0.6112089095287225,0.0,0.9063091175534986,0.4226154084263831,0.0,0.0,-0.92,-0.48571428571428577,-0.8,0.0,-1.0,-1.0,-0.6239130434782609,0.6239130434782609,0.19999999999999996,1.0,0.875,-0.3948588235294118,-0.4480425430325754,-0.17237953780542026,0.7713889077484262
l_arm_shx,-0.4498107354097748,0.516008554971193,0.6212842465678379,-1.0,0.0,0.0,0.0,0.0,-0.92,-0.48571428571428577,-0.8,0.0,-1.0,-1.0,-0.6760869565217391,0.07391304347826089,0.19999999999999996,1.0,0.875,-0.3948588235294118,-0.4480425430325754,-0.17237953780542026,0.7713889077484262
l_arm_shz,-0.4498107354097748,0.516008554971193,0.46965181914036136,0.0,0.0,1.0,0.0,0.0,-0.964,0.1428571428571428,-0.8,0.0,-1.0,-1.0,-0.28260869565217395,0.9673913043478262,0.19999999999999996,1.0,0.875,-0.3948588235294118,-0.4480425430325754,-0.17237953780542026,0.7713889077484262
left_elbow,-0.38277658353276944,0.516008554971193,0.24609842650714953,0.0,1.0,0.0,-1.0,0.0,-0.964,0.1428571428571428,-0.8,0.0,-1.0,-1.0,-0.27173913043478265,0.5673913043478261,0.19999999999999996,1.0,0.875,-0.3948588235294118,-0.4480425430325754,-0.17237953780542026,0.7713889077484262
r_arm_shy,-0.42988166323012444,-0.3754136276139486,0.6112089095287225,0.0,-0.9063091175534986,0.4226154084263831,0.0,0.0,-0.92,-0.48571428571428577,-0.8,0.0,-1.0,-1.0,-0.6239130434782609,0.6239130434782609,0.19999999999999996,1.0,0.875,-0.3948588235294118,-0.4480425430325754,-0.17237953780542026,0.7713889077484262
r_arm_shx,-0.4498107354097748,-0.516008554971193,0.6212842465678379,-1.0,0.0,0.0,0.0,0.0,-0.92,-0.48571428571428577,-0.8,0.0,-1.0,-1.0,-0.07391304347826089,0.6760869565217391,0.19999999999999996,1.0,0.875,-0.3948588235294118,-0.4480425430325754,-0.17237953780542026,0.7713889077484262
r_arm_shz,-0.4498107354097748,-0.516008554971193,0.46965181914036136,0.0,0.0,1.0,0.0,0.0,-0.964,0.1428571428571428,-0.8,0.0,-1.0,-1.0,-0.9673913043478262,0.28260869565217395,0.19999999999999996,1.0,0.875,-0.3948588235294118,-0.4480425430325754,-0.17237953780542026,0.7713889077484262
right_elbow,-0.38277658353276944,-0.516008554971193,0.24609842650714953,0.0,-1.0,0.0,-1.0,0.0,-0.964,0.1428571428571428,-0.8,0.0,-1.0,-1.0,-0.5673913043478261,0.27173913043478265,0.19999999999999996,1.0,0.875,-0.3948588235294118,-0.4480425430325754,-0.17237953780542026,0.7713889077484262
