Text,robot,x1,y1,yaw1,x2,y2,yaw2,x3,y3,yaw3,x4,y4,yaw4,x5,y5,yaw5,x6,y6,yaw6,dt
move forward,UnitreeH1,0.55,0,0,0.75,0,0,0.9,0,0,0.9,0,0,0.8,0,0,0.65,0,0,0.6
walk forward,UnitreeH1,0.6,0,0,0.8,0,0,0.95,0,0,0.95,0,0,0.85,0,0,0.7,0,0,0.6
go straight ahead,UnitreeH1,0.5,0,0,0.7,0,0,0.85,0,0,0.95,0,0,0.85,0,0,0.65,0,0,0.65
move ahead quickly,UnitreeH1,0.7,0,0,0.9,0,0,1,0,0,1,0,0,0.9,0,0,0.75,0,0,0.5
walk ahead steadily,UnitreeH1,0.55,0,0,0.65,0,0,0.75,0,0,0.75,0,0,0.7,0,0,0.6,0,0,0.7
advance forward,UnitreeH1,0.6,0,0,0.75,0,0,0.9,0,0,0.9,0,0,0.8,0,0,0.65,0,0,0.6
move forward slowly,UnitreeH1,0.3,0,0,0.4,0,0,0.5,0,0,0.5,0,0,0.45,0,0,0.35,0,0,0.7
walk forward fast,UnitreeH1,0.75,0,0,0.95,0,0,1,0,0,1,0,0,0.95,0,0,0.8,0,0,0.5
continue moving forward,UnitreeH1,0.55,0,0,0.7,0,0,0.8,0,0,0.85,0,0,0.8,0,0,0.7,0,0,0.65
head straight forward,UnitreeH1,0.5,0,0,0.7,0,0,0.85,0,0,0.9,0,0,0.8,0,0,0.6,0,0,0.65
move backward,UnitreeH1,-0.55,0,0,-0.75,0,0,-0.9,0,0,-0.9,0,0,-0.8,0,0,-0.65,0,0,0.6
walk backward,UnitreeH1,-0.6,0,0,-0.8,0,0,-0.95,0,0,-0.95,0,0,-0.85,0,0,-0.7,0,0,0.6
go straight back,UnitreeH1,-0.5,0,0,-0.7,0,0,-0.85,0,0,-0.95,0,0,-0.85,0,0,-0.65,0,0,0.65
move backward quickly,UnitreeH1,-0.7,0,0,-0.9,0,0,-1,0,0,-1,0,0,-0.9,0,0,-0.75,0,0,0.5
walk backward steadily,UnitreeH1,-0.55,0,0,-0.65,0,0,-0.75,0,0,-0.75,0,0,-0.7,0,0,-0.6,0,0,0.7
reverse,UnitreeH1,-0.6,0,0,-0.75,0,0,-0.9,0,0,-0.9,0,0,-0.8,0,0,-0.65,0,0,0.6
move backward slowly,UnitreeH1,-0.3,0,0,-0.4,0,0,-0.5,0,0,-0.5,0,0,-0.45,0,0,-0.35,0,0,0.7
walk backward fast,UnitreeH1,-0.75,0,0,-0.95,0,0,-1,0,0,-1,0,0,-0.95,0,0,-0.8,0,0,0.5
continue moving backward,UnitreeH1,-0.55,0,0,-0.7,0,0,-0.8,0,0,-0.85,0,0,-0.8,0,0,-0.7,0,0,0.65
head straight backward,UnitreeH1,-0.5,0,0,-0.7,0,0,-0.85,0,0,-0.9,0,0,-0.8,0,0,-0.6,0,0,0.65
move right,UnitreeH1,0,0.35,0,0,0.55,0,0,0.7,0,0,0.75,0,0,0.65,0,0,0.5,0,0.65
strafe right,UnitreeH1,0,0.3,0,0,0.5,0,0,0.65,0,0,0.7,0,0,0.6,0,0,0.45,0,0.65
step sideways to the right,UnitreeH1,0,0.25,0,0,0.45,0,0,0.6,0,0,0.65,0,0,0.55,0,0,0.4,0,0.7
move quickly to the right,UnitreeH1,0,0.45,0,0,0.65,0,0,0.8,0,0,0.85,0,0,0.75,0,0,0.55,0,0.55
shift right slowly,UnitreeH1,0,0.2,0,0,0.3,0,0,0.4,0,0,0.45,0,0,0.4,0,0,0.3,0,0.7
continue moving right,UnitreeH1,0,0.3,0,0,0.5,0,0,0.65,0,0,0.7,0,0,0.6,0,0,0.45,0,0.65
slide to the right,UnitreeH1,0,0.3,0,0,0.45,0,0,0.6,0,0,0.65,0,0,0.55,0,0,0.4,0,0.7
move sideways right,UnitreeH1,0,0.35,0,0,0.55,0,0,0.7,0,0,0.7,0,0,0.6,0,0,0.45,0,0.65
take a quick step right,UnitreeH1,0,0.45,0,0,0.65,0,0,0.8,0,0,0.8,0,0,0.7,0,0,0.5,0,0.55
head toward the right,UnitreeH1,0,0.3,0,0,0.5,0,0,0.65,0,0,0.7,0,0,0.6,0,0,0.45,0,0.65
move left,UnitreeH1,0,-0.35,0,0,-0.55,0,0,-0.7,0,0,-0.75,0,0,-0.65,0,0,-0.5,0,0.65
strafe left,UnitreeH1,0,-0.3,0,0,-0.5,0,0,-0.65,0,0,-0.7,0,0,-0.6,0,0,-0.45,0,0.65
step sideways to the left,UnitreeH1,0,-0.25,0,0,-0.45,0,0,-0.6,0,0,-0.65,0,0,-0.55,0,0,-0.4,0,0.7
move quickly to the left,UnitreeH1,0,-0.45,0,0,-0.65,0,0,-0.8,0,0,-0.85,0,0,-0.75,0,0,-0.55,0,0.55
shift left slowly,UnitreeH1,0,-0.2,0,0,-0.3,0,0,-0.4,0,0,-0.45,0,0,-0.4,0,0,-0.3,0,0.7
continue moving left,UnitreeH1,0,-0.3,0,0,-0.5,0,0,-0.65,0,0,-0.7,0,0,-0.6,0,0,-0.45,0,0.65
slide to the left,UnitreeH1,0,-0.3,0,0,-0.45,0,0,-0.6,0,0,-0.65,0,0,-0.55,0,0,-0.4,0,0.7
move sideways left,UnitreeH1,0,-0.35,0,0,-0.55,0,0,-0.7,0,0,-0.7,0,0,-0.6,0,0,-0.45,0,0.65
take a quick step left,UnitreeH1,0,-0.45,0,0,-0.65,0,0,-0.8,0,0,-0.8,0,0,-0.7,0,0,-0.5,0,0.55
head toward the left,UnitreeH1,0,-0.3,0,0,-0.5,0,0,-0.65,0,0,-0.7,0,0,-0.6,0,0,-0.45,0,0.65
turn right,UnitreeH1,0,0,0.45,0,0,0.65,0,0,0.85,0,0,1,0,0,0.9,0,0,0.7,0.55
rotate right,UnitreeH1,0,0,0.5,0,0,0.7,0,0,0.9,0,0,1,0,0,0.9,0,0,0.75,0.55
turn clockwise,UnitreeH1,0,0,0.45,0,0,0.65,0,0,0.85,0,0,0.95,0,0,0.85,0,0,0.65,0.6
turn right quickly,UnitreeH1,0,0,0.65,0,0,0.85,0,0,1,0,0,1,0,0,0.95,0,0,0.8,0.5
turn right slowly,UnitreeH1,0,0,0.25,0,0,0.35,0,0,0.45,0,0,0.5,0,0,0.45,0,0,0.35,0.7
keep turning right,UnitreeH1,0,0,0.45,0,0,0.65,0,0,0.8,0,0,0.9,0,0,0.85,0,0,0.7,0.6
spin to the right,UnitreeH1,0,0,0.6,0,0,0.8,0,0,1,0,0,1,0,0,0.95,0,0,0.75,0.5
pivot right,UnitreeH1,0,0,0.4,0,0,0.6,0,0,0.8,0,0,0.9,0,0,0.8,0,0,0.65,0.6
rotate clockwise quickly,UnitreeH1,0,0,0.65,0,0,0.85,0,0,1,0,0,1,0,0,0.9,0,0,0.75,0.5
make a right turn,UnitreeH1,0,0,0.4,0,0,0.6,0,0,0.8,0,0,0.9,0,0,0.8,0,0,0.65,0.6
turn left,UnitreeH1,0,0,-0.45,0,0,-0.65,0,0,-0.85,0,0,-1,0,0,-0.9,0,0,-0.7,0.55
rotate left,UnitreeH1,0,0,-0.5,0,0,-0.7,0,0,-0.9,0,0,-1,0,0,-0.9,0,0,-0.75,0.55
turn counterclockwise,UnitreeH1,0,0,-0.45,0,0,-0.65,0,0,-0.85,0,0,-0.95,0,0,-0.85,0,0,-0.65,0.6
turn left quickly,UnitreeH1,0,0,-0.65,0,0,-0.85,0,0,-1,0,0,-1,0,0,-0.95,0,0,-0.8,0.5
turn left slowly,UnitreeH1,0,0,-0.25,0,0,-0.35,0,0,-0.45,0,0,-0.5,0,0,-0.45,0,0,-0.35,0.7
keep turning left,UnitreeH1,0,0,-0.45,0,0,-0.65,0,0,-0.8,0,0,-0.9,0,0,-0.85,0,0,-0.7,0.6
spin to the left,UnitreeH1,0,0,-0.6,0,0,-0.8,0,0,-1,0,0,-1,0,0,-0.95,0,0,-0.75,0.5
pivot left,UnitreeH1,0,0,-0.4,0,0,-0.6,0,0,-0.8,0,0,-0.9,0,0,-0.8,0,0,-0.65,0.6
rotate counterclockwise quickly,UnitreeH1,0,0,-0.65,0,0,-0.85,0,0,-1,0,0,-1,0,0,-0.9,0,0,-0.75,0.5
make a left turn,UnitreeH1,0,0,-0.4,0,0,-0.6,0,0,-0.8,0,0,-0.9,0,0,-0.8,0,0,-0.65,0.6
move forward then backward,UnitreeH1,0.6,0,0,0.8,0,0,0.55,0,0,0.15,0,0,-0.35,0,0,-0.65,0,0,0.65
walk ahead then reverse,UnitreeH1,0.55,0,0,0.75,0,0,0.5,0,0,0.1,0,0,-0.3,0,0,-0.6,0,0,0.65
move backward then forward,UnitreeH1,-0.6,0,0,-0.8,0,0,-0.55,0,0,-0.15,0,0,0.35,0,0,0.65,0,0,0.65
reverse then move ahead,UnitreeH1,-0.55,0,0,-0.75,0,0,-0.5,0,0,-0.1,0,0,0.3,0,0,0.6,0,0,0.65
move forward and turn right,UnitreeH1,0.45,0,0.2,0.6,0,0.35,0.7,0,0.5,0.75,0,0.65,0.7,0,0.75,0.6,0,0.65,0.6
move forward while turning right,UnitreeH1,0.4,0,0.25,0.55,0,0.4,0.7,0,0.55,0.75,0,0.7,0.7,0,0.8,0.6,0,0.7,0.6
walk ahead and curve right,UnitreeH1,0.4,0,0.2,0.55,0,0.3,0.65,0,0.45,0.7,0,0.55,0.65,0,0.65,0.55,0,0.6,0.65
move forward and turn left,UnitreeH1,0.45,0,-0.2,0.6,0,-0.35,0.7,0,-0.5,0.75,0,-0.65,0.7,0,-0.75,0.6,0,-0.65,0.6
move forward while turning left,UnitreeH1,0.4,0,-0.25,0.55,0,-0.4,0.7,0,-0.55,0.75,0,-0.7,0.7,0,-0.8,0.6,0,-0.7,0.6
