Text,robot,x,y,yaw
move forward,UnitreeH1,1,0,0
go forward,UnitreeH1,1,0,0
walk forward,UnitreeH1,1,0,0
move ahead,UnitreeH1,1,0,0
go straight,UnitreeH1,1,0,0
continue forward,UnitreeH1,1,0,0
advance,UnitreeH1,1,0,0
head forward,UnitreeH1,1,0,0
proceed ahead,UnitreeH1,1,0,0
move onward,UnitreeH1,1,0,0
move backward,UnitreeH1,-1,0,0
go backward,UnitreeH1,-1,0,0
walk back,UnitreeH1,-1,0,0
reverse,UnitreeH1,-1,0,0
move in reverse,UnitreeH1,-1,0,0
step backward,UnitreeH1,-1,0,0
go back,UnitreeH1,-1,0,0
retreat,UnitreeH1,-1,0,0
back up,UnitreeH1,-1,0,0
move back,UnitreeH1,-1,0,0
strafe left,UnitreeH1,0,-1,0
move left,UnitreeH1,0,-1,0
shift left,UnitreeH1,0,-1,0
slide left,UnitreeH1,0,-1,0
step to the left,UnitreeH1,0,-1,0
go sideways left,UnitreeH1,0,-1,0
move laterally left,UnitreeH1,0,-1,0
sidestep left,UnitreeH1,0,-1,0
go to the left without turning,UnitreeH1,0,-1,0
translate left,UnitreeH1,0,-1,0
strafe right,UnitreeH1,0,1,0
move right,UnitreeH1,0,1,0
shift right,UnitreeH1,0,1,0
slide right,UnitreeH1,0,1,0
step to the right,UnitreeH1,0,1,0
go sideways right,UnitreeH1,0,1,0
move laterally right,UnitreeH1,0,1,0
sidestep right,UnitreeH1,0,1,0
go to the right without turning,UnitreeH1,0,1,0
translate right,UnitreeH1,0,1,0
turn left,UnitreeH1,0,0,-1
rotate left,UnitreeH1,0,0,-1
face left,UnitreeH1,0,0,-1
spin left,UnitreeH1,0,0,-1
yaw left,UnitreeH1,0,0,-1
change heading left,UnitreeH1,0,0,-1
look left,UnitreeH1,0,0,-1
pivot left,UnitreeH1,0,0,-1
rotate anticlockwise,UnitreeH1,0,0,-1
turn to the left,UnitreeH1,0,0,-1
turn right,UnitreeH1,0,0,1
rotate right,UnitreeH1,0,0,1
face right,UnitreeH1,0,0,1
spin right,UnitreeH1,0,0,1
yaw right,UnitreeH1,0,0,1
change heading right,UnitreeH1,0,0,1
look right,UnitreeH1,0,0,1
pivot right,UnitreeH1,0,0,1
rotate clockwise,UnitreeH1,0,0,1
turn to the right,UnitreeH1,0,0,1
move forward slowly,UnitreeH1,0.4,0,0
go forward slowly,UnitreeH1,0.4,0,0
advance a little,UnitreeH1,0.4,0,0
move gently forward,UnitreeH1,0.4,0,0
creep forward,UnitreeH1,0.4,0,0
move forward quickly,UnitreeH1,1,0,0
go forward fast,UnitreeH1,1,0,0
advance quickly,UnitreeH1,1,0,0
move ahead fast,UnitreeH1,1,0,0
go straight quickly,UnitreeH1,1,0,0
turn left slightly,UnitreeH1,0,0,-0.4
rotate a little left,UnitreeH1,0,0,-0.4
make a small left turn,UnitreeH1,0,0,-0.4
adjust left,UnitreeH1,0,0,-0.4
yaw slightly left,UnitreeH1,0,0,-0.4
turn right slightly,UnitreeH1,0,0,0.4
rotate a little right,UnitreeH1,0,0,0.4
make a small right turn,UnitreeH1,0,0,0.4
adjust right,UnitreeH1,0,0,0.4
yaw slightly right,UnitreeH1,0,0,0.4
move forward and turn left,UnitreeH1,0.7,0,-0.5
go forward while turning left,UnitreeH1,0.7,0,-0.5
curve left while moving forward,UnitreeH1,0.7,0,-0.5
walk ahead and rotate left,UnitreeH1,0.7,0,-0.5
move in a left arc,UnitreeH1,0.7,0,-0.5
move forward and turn right,UnitreeH1,0.7,0,0.5
go forward while turning right,UnitreeH1,0.7,0,0.5
curve right while moving forward,UnitreeH1,0.7,0,0.5
walk ahead and rotate right,UnitreeH1,0.7,0,0.5
move in a right arc,UnitreeH1,0.7,0,0.5
move diagonally forward left,UnitreeH1,0.7,-0.5,0
go forward-left,UnitreeH1,0.7,-0.5,0
move ahead to the left,UnitreeH1,0.7,-0.5,0
travel diagonally left,UnitreeH1,0.7,-0.5,0
advance while shifting left,UnitreeH1,0.7,-0.5,0
move diagonally forward right,UnitreeH1,0.7,0.5,0
go forward-right,UnitreeH1,0.7,0.5,0
move ahead to the right,UnitreeH1,0.7,0.5,0
travel diagonally right,UnitreeH1,0.7,0.5,0
advance while shifting right,UnitreeH1,0.7,0.5,0
stop,UnitreeH1,0,0,0
halt,UnitreeH1,0,0,0
stand still,UnitreeH1,0,0,0
do not move,UnitreeH1,0,0,0
stay in place,UnitreeH1,0,0,0
remain still,UnitreeH1,0,0,0
pause movement,UnitreeH1,0,0,0
freeze,UnitreeH1,0,0,0
hold position,UnitreeH1,0,0,0
stop moving,UnitreeH1,0,0,0
move forward,UnitreeGo1,1,0,0
go forward,UnitreeGo1,1,0,0
walk forward,UnitreeGo1,1,0,0
move ahead,UnitreeGo1,1,0,0
go straight,UnitreeGo1,1,0,0
continue forward,UnitreeGo1,1,0,0
advance,UnitreeGo1,1,0,0
head forward,UnitreeGo1,1,0,0
proceed ahead,UnitreeGo1,1,0,0
move onward,UnitreeGo1,1,0,0
move backward,UnitreeGo1,-1,0,0
go backward,UnitreeGo1,-1,0,0
walk back,UnitreeGo1,-1,0,0
reverse,UnitreeGo1,-1,0,0
move in reverse,UnitreeGo1,-1,0,0
step backward,UnitreeGo1,-1,0,0
go back,UnitreeGo1,-1,0,0
retreat,UnitreeGo1,-1,0,0
back up,UnitreeGo1,-1,0,0
move back,UnitreeGo1,-1,0,0
strafe left,UnitreeGo1,0,-1,0
move left,UnitreeGo1,0,-1,0
shift left,UnitreeGo1,0,-1,0
slide left,UnitreeGo1,0,-1,0
step to the left,UnitreeGo1,0,-1,0
go sideways left,UnitreeGo1,0,-1,0
move laterally left,UnitreeGo1,0,-1,0
sidestep left,UnitreeGo1,0,-1,0
go to the left without turning,UnitreeGo1,0,-1,0
translate left,UnitreeGo1,0,-1,0
strafe right,UnitreeGo1,0,1,0
move right,UnitreeGo1,0,1,0
shift right,UnitreeGo1,0,1,0
slide right,UnitreeGo1,0,1,0
step to the right,UnitreeGo1,0,1,0
go sideways right,UnitreeGo1,0,1,0
move laterally right,UnitreeGo1,0,1,0
sidestep right,UnitreeGo1,0,1,0
go to the right without turning,UnitreeGo1,0,1,0
translate right,UnitreeGo1,0,1,0
turn left,UnitreeGo1,0,0,-1
rotate left,UnitreeGo1,0,0,-1
face left,UnitreeGo1,0,0,-1
spin left,UnitreeGo1,0,0,-1
yaw left,UnitreeGo1,0,0,-1
change heading left,UnitreeGo1,0,0,-1
look left,UnitreeGo1,0,0,-1
pivot left,UnitreeGo1,0,0,-1
rotate anticlockwise,UnitreeGo1,0,0,-1
turn to the left,UnitreeGo1,0,0,-1
turn right,UnitreeGo1,0,0,1
rotate right,UnitreeGo1,0,0,1
face right,UnitreeGo1,0,0,1
spin right,UnitreeGo1,0,0,1
yaw right,UnitreeGo1,0,0,1
change heading right,UnitreeGo1,0,0,1
look right,UnitreeGo1,0,0,1
pivot right,UnitreeGo1,0,0,1
rotate clockwise,UnitreeGo1,0,0,1
turn to the right,UnitreeGo1,0,0,1
move forward slowly,UnitreeGo1,0.4,0,0
go forward slowly,UnitreeGo1,0.4,0,0
advance a little,UnitreeGo1,0.4,0,0
move gently forward,UnitreeGo1,0.4,0,0
creep forward,UnitreeGo1,0.4,0,0
move forward quickly,UnitreeGo1,1,0,0
go forward fast,UnitreeGo1,1,0,0
advance quickly,UnitreeGo1,1,0,0
move ahead fast,UnitreeGo1,1,0,0
